country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,year,month,day,hour
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",2025-11-27 09:00:00,25.42742023,86.13886079,NH3,4.0,5.0,5.0,2025,11,27,9
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",2025-11-27 09:00:00,26.80365,84.51954,PM2.5,41.0,223.0,102.0,2025,11,27,9
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",2025-11-27 09:00:00,25.251013,86.989001,NO2,6.0,11.0,8.0,2025,11,27,9
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",2025-11-27 09:00:00,25.265194,87.012947,PM2.5,54.0,113.0,80.0,2025,11,27,9
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",2025-11-27 09:00:00,25.265194,87.012947,NH3,8.0,15.0,11.0,2025,11,27,9
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",2025-11-27 09:00:00,25.265194,87.012947,SO2,40.0,72.0,54.0,2025,11,27,9
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",2025-11-27 09:00:00,25.265194,87.012947,CO,58.0,103.0,77.0,2025,11,27,9
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",2025-11-27 09:00:00,25.204762,85.51496,PM2.5,41.0,200.0,96.0,2025,11,27,9
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",2025-11-27 09:00:00,25.204762,85.51496,SO2,10.0,10.0,10.0,2025,11,27,9
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",2025-11-27 09:00:00,16.536107,80.594233,SO2,9.0,17.0,11.0,2025,11,27,9
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",2025-11-27 09:00:00,16.554731,80.64911,SO2,11.0,29.0,18.0,2025,11,27,9
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",2025-11-27 09:00:00,17.72,83.3,PM2.5,36.29704855601396,102.24436686766106,62.67153284671533,2025,11,27,9
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",2025-11-27 09:00:00,17.72,83.3,PM10,36.29704855601396,102.24436686766106,62.67153284671533,2025,11,27,9
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",2025-11-27 09:00:00,17.72,83.3,SO2,36.29704855601396,102.24436686766106,62.67153284671533,2025,11,27,9
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",2025-11-27 09:00:00,27.103358,93.679645,SO2,8.0,9.0,8.0,2025,11,27,9
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",2025-11-27 09:00:00,26.071318,91.87488,PM2.5,36.29704855601396,102.24436686766106,62.67153284671533,2025,11,27,9
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",2025-11-27 09:00:00,26.987634,94.636574,SO2,8.0,11.0,9.0,2025,11,27,9
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",2025-11-27 09:00:00,26.146529,87.454184,PM2.5,45.0,233.0,149.0,2025,11,27,9
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",2025-11-27 09:00:00,26.146529,87.454184,CO,2.0,34.0,33.0,2025,11,27,9
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",2025-11-27 09:00:00,25.5626095,84.663264,PM2.5,37.0,257.0,154.0,2025,11,27,9
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",2025-11-27 09:00:00,24.75746,84.366208,PM2.5,36.29704855601396,102.24436686766106,62.67153284671533,2025,11,27,9
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",2025-11-27 09:00:00,25.42742023,86.13886079,PM10,25.0,146.0,50.0,2025,11,27,9
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",2025-11-27 09:00:00,25.7808257,84.7446768,PM10,31.0,105.0,71.0,2025,11,27,9
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",2025-11-27 09:00:00,25.7808257,84.7446768,NH3,4.0,6.0,5.0,2025,11,27,9
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",2025-11-27 09:00:00,25.7808257,84.7446768,OZONE,18.0,243.0,36.0,2025,11,27,9
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",2025-11-27 09:00:00,24.7955,84.9994,PM2.5,36.0,288.0,129.0,2025,11,27,9
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",2025-11-27 09:00:00,24.7955,84.9994,OZONE,19.0,62.0,20.0,2025,11,27,9
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",2025-11-27 09:00:00,24.792403,84.992416,NH3,36.29704855601396,102.24436686766106,62.67153284671533,2025,11,27,9
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",2025-11-27 09:00:00,24.792403,84.992416,CO,36.29704855601396,102.24436686766106,62.67153284671533,2025,11,27,9
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",2025-11-27 09:00:00,24.762518,84.982348,PM10,42.0,75.0,60.0,2025,11,27,9
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",2025-11-27 09:00:00,25.697189,85.2459,SO2,3.0,6.0,4.0,2025,11,27,9
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",2025-11-27 09:00:00,25.560083,87.553265,NO2,11.0,20.0,16.0,2025,11,27,9
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",2025-11-27 09:00:00,25.560083,87.553265,NH3,1.0,1.0,1.0,2025,11,27,9
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",2025-11-27 09:00:00,26.0881305,87.93840336,PM2.5,40.0,50.0,44.0,2025,11,27,9
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",2025-11-27 09:00:00,26.0881305,87.93840336,SO2,6.0,10.0,8.0,2025,11,27,9
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",2025-11-27 09:00:00,27.308328,84.531742,PM10,35.0,184.0,76.0,2025,11,27,9
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",2025-11-27 09:00:00,26.071318,91.87488,SO2,36.29704855601396,102.24436686766106,62.67153284671533,2025,11,27,9
India,Assam,Guwahati,"IITG, Guwahati - PCBA",2025-11-27 09:00:00,26.2028636,91.70046436,NH3,5.0,5.0,5.0,2025,11,27,9
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",2025-11-27 09:00:00,26.10887,91.589544,CO,8.0,60.0,36.0,2025,11,27,9
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",2025-11-27 09:00:00,26.1875,91.744194,PM10,18.0,91.0,51.0,2025,11,27,9
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",2025-11-27 09:00:00,26.181742,91.78063,NO2,3.0,4.0,3.0,2025,11,27,9
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",2025-11-27 09:00:00,26.181742,91.78063,SO2,32.0,35.0,33.0,2025,11,27,9
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",2025-11-27 09:00:00,14.465052,78.824187,PM10,56.0,79.0,75.0,2025,11,27,9
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",2025-11-27 09:00:00,14.465052,78.824187,NH3,3.0,4.0,4.0,2025,11,27,9
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",2025-11-27 09:00:00,14.465052,78.824187,CO,26.0,46.0,39.0,2025,11,27,9
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",2025-11-27 09:00:00,14.465052,78.824187,OZONE,29.0,31.0,30.0,2025,11,27,9
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",2025-11-27 09:00:00,16.9872867,81.7363176,OZONE,13.0,38.0,16.0,2025,11,27,9
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",2025-11-27 09:00:00,13.67,79.35,PM10,62.0,112.0,93.0,2025,11,27,9
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",2025-11-27 09:00:00,26.63086,84.90051,PM2.5,18.0,220.0,111.0,2025,11,27,9
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",2025-11-27 09:00:00,26.63086,84.90051,OZONE,2.0,5.0,2.0,2025,11,27,9
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",2025-11-27 09:00:00,26.11442,85.39813,PM2.5,68.0,207.0,142.0,2025,11,27,9
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",2025-11-27 09:00:00,26.11442,85.39813,NH3,7.0,10.0,9.0,2025,11,27,9
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",2025-11-27 09:00:00,26.1403345,85.3650192,SO2,9.0,15.0,10.0,2025,11,27,9
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2025-11-27 09:00:00,16.5150833,80.5181667,NO2,20.0,53.0,29.0,2025,11,27,9
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2025-11-27 09:00:00,16.5150833,80.5181667,SO2,9.0,12.0,10.0,2025,11,27,9
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2025-11-27 09:00:00,16.5150833,80.5181667,OZONE,32.0,58.0,47.0,2025,11,27,9
